movieId,title,genres,director,plot_keywords,title_cast_short
1,toy story (1995),adventure animation children comedy fantasy,johnlasseter,toy rivalry cowboy cgi animation,tomhanks timallen donrickles
2,jumanji (1995),adventure children fantasy,jonathanhensleigh,board game adventurer fight game,robinwilliams jonathanhyde kirstendunst
3,grumpier old men (1995),comedy romance,markstevenjohnson,boat lake neighbor rivalry,waltermatthau jacklemmon sophialoren
4,waiting to exhale (1995),comedy drama romance,terrymcmillan,black american husband wife relationship betrayal mother son relationship,whitneyhouston angelabassett lorettadevine
5,father of the bride part ii (1995),comedy,alberthackett,fatherhood doberman dog mansion,stevemartin dianekeaton martinshort
6,heat (1995),action crime thriller,michaelmann,gun battle organized crime honor criminal investigation,alpacino robertdeniro valkilmer
7,sabrina (1995),comedy romance,samuela.taylor,character name as title chauffeur estate playboy,harrisonford juliaormond gregkinnear
8,tom and huck (1995),adventure children,marktwain,rescue from drowning near drowning character names as title forenames as title,jonathantaylorthomas bradrenfro ericschweig
9,sudden death (1995),action,karenelisebaldwin,hockey death in title two word title terrorist,jean-claudevandamme powersboothe raymondj.barry
10,goldeneye (1995),action adventure thriller,ianfleming,official james bond series james bond character 007 chemical weapons,piercebrosnan seanbean izabellascorupco
11,"american president, the (1995)",comedy drama romance,aaronsorkin,reference to franklin d. roosevelt reference to martin van buren president speechwriter,michaeldouglas annettebening martinsheen
12,dracula: dead and loving it (1995),comedy horror,melbrooks,dracula vampire 19th century insane asylum,leslienielsen petermacnicol stevenweber
13,balto (1995),adventure animation children,cliffruby,dog nome alaska alaska children,kevinbacon bobhoskins bridgetfonda
14,nixon (1995),drama,oliverstone,american president american politics paranoia u.s. president,anthonyhopkins joanallen powersboothe
15,cutthroat island (1995),action adventure romance,michaelfrostbeckner,treasure pirate treasure map pirate ship,geenadavis matthewmodine franklangella
16,casino (1995),crime drama,nicholaspileggi,crime epic casino gambling gangster,robertdeniro sharonstone joepesci
17,sense and sensibility (1995),drama romance,janeausten,england 19th century based on novel black hair,jamesfleet tomwilkinson harrietwalter
18,four rooms (1995),comedy,alexandrerockwell,woman gagged woman tied to a chair weapon,sammidavis amandadecadenet valeriagolino
19,ace ventura: when nature calls (1995),comedy,jackbernstein,male objectification kidnapping caught masturbating fictional country,jimcarrey ianmcneice simoncallow
20,money train (1995),action comedy crime drama thriller,dougrichardson,train subway loan shark new year's eve,wesleysnipes woodyharrelson jenniferlopez
21,get shorty (1995),comedy crime thriller,elmoreleonard,movie business loan shark debt mobster,johntravolta genehackman renerusso
22,copycat (1995),crime drama horror mystery thriller,annbiderman,serial killer psychopath dead body in a bathtub detective,sigourneyweaver hollyhunter dermotmulroney
23,assassins (1995),action crime thriller,lillywachowski,assassin rival assassination computer hacker,sylvesterstallone antoniobanderas juliannemoore
24,powder (1995),drama sci-fi,victorsalva,albino electricity loneliness bully,marysteenburgen seanpatrickflanery lancehenriksen
25,leaving las vegas (1995),drama romance,johno'brien,prostitute alcoholism alcoholic falling in love with a prostitute,nicolascage elisabethshue juliansands
26,othello (1995),drama,oliverparker,italy black man white woman marriage black man white woman sex black man white woman kiss,laurencefishburne irènejacob kennethbranagh
27,now and then (1995),children drama,i.marleneking,1970s year 1991 1990s year 1970,christinaricci rosieo'donnell thorabirch
28,persuasion (1995),drama romance,rogermichell,captain accident napoleonic wars marriage,amandaroot ciaránhinds susanfleetwood
29,"city of lost children, the (cité des enfants perdus, la) (1995)",adventure drama fantasy mystery sci-fi,jean-pierrejeunet,psychotronic film underwater scene children dream,ronperlman danielemilfork judithvittet
31,dangerous minds (1995),drama,louannejohnson,teacher student relationship ex marine pregnancy high school principal,michellepfeiffer georgedzundza courtneyb.vance
32,twelve monkeys (a.k.a. 12 monkeys) (1995),mystery sci-fi thriller,chrismarker,time travel virus mental institution underground,josephmelito brucewillis jonseda
33,wings of courage (1995),adventure romance imax,alaingodard,airmail period piece 3 dimensional,craigsheffer tomhulce elizabethmcgovern
34,babe (1995),children drama,dickking-smith,farmer pig sheep farm,christinecavanaugh miriammargolyes dannymann
35,carrington (1995),drama romance,christopherhampton,writer gay rape f rated,emmathompson jonathanpryce stevenwaddington
36,dead man walking (1995),crime drama,helenprejean,nun solitary confinement execution capital punishment,susansarandon seanpenn robertprosky
37,across the sea of time (1995),documentary imax,stephenlow,donald trump immigrant 11 year old brooklyn new york city,peterreznick johnmcdonough avihoffman
38,it takes two (1995),children comedy,deborahdeandavis,mistaken identity identity swapping nylon stockings child plays matchmaker,kirstiealley steveguttenberg mary-kateolsen
